name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
Schenley Park Visitors Center,101 Panther Hollow Rd,Pittsburgh,PA,15213,40.4375406448,-79.9488830566,5.0,12,1,"Playgrounds, Community Service\/Non-Profit, Tennis, Swimming Pools, Travel Services, Hotels & Travel, Restaurants, Hiking, Visitor Centers, Skating Rinks, Active Life, Beaches, Local Services, Parks, Cafes"
Jitters Cafe,5541 Walnut St,Pittsburgh,PA,15232,40.4518188,-79.9323587,4.0,61,1,"Food, Ice Cream & Frozen Yogurt, Restaurants, Coffee & Tea"
"Jack L Pechersky, DMD - Pittsburgh Children's Dentistry","2345 Murray Ave, Ste 220",Pittsburgh,PA,15217,40.4306799,-79.9230829,4.0,10,1,"Pediatric Dentists, Health & Medical, Dentists"
University Dental Health Services,3501 Terrace St,Pittsburgh,PA,15213,40.4425854,-79.9627166,3.5,3,0,"Health & Medical, Dentists, General Dentistry"
King Of The Hill Beer,3357 Ridgeway St,Pittsburgh,PA,15213,40.4561442,-79.9641121,4.5,3,1,"Food, Beer, Wine & Spirits"
M-Nail Salon,816 S Aiken Ave,Pittsburgh,PA,15232,40.4506624,-79.9355421,3.5,76,1,"Beauty & Spas, Nail Salons"
Cutitta Chiropractic,4353 Murray Ave Pittsburgh,Pittsburgh,PA,15217,40.4204477,-79.9282768,5.0,3,1,"Massage Therapy, Health & Medical, Chiropractors"
Hot Rod Body Piercing Co.,"115 Oakland Ave, Fl 2",Pittsburgh,PA,15213,40.4419592,-79.9572204,4.5,37,1,"Shopping, Piercing, Jewelry, Beauty & Spas"
Chop Sticks,2018 Murray Ave,Pittsburgh,PA,15217,40.4341822,-79.9230114,3.0,4,0,"Chinese, Restaurants"
Stack'd Burgers - Shadyside,728 Copeland St,Pittsburgh,PA,15232,40.451128,-79.934958,4.0,156,1,"Pubs, Restaurants, Nightlife, Bars, Burgers, American (Traditional)"
Cafe Moulin,732 Filbert St,Pittsburgh,PA,15232,40.4516222361,-79.9331853806,4.0,219,1,"Restaurants, Breakfast & Brunch, Coffee & Tea, French, Food, Creperies, Cafes"
Guardian Storage,750 S Millvale Ave,Pittsburgh,PA,15213,40.455656,-79.9479933,3.0,6,1,"Self Storage, Local Services"
Vocelli Pizza,4740 Baum Blvd,Pittsburgh,PA,15213,40.4539049,-79.9488432,2.5,22,1,"Desserts, Food, Pizza, Restaurants, Salad"
White House Black Market,"5533 Walnut Street, Shadyside",Pittsburgh,PA,15232,40.4517596,-79.9325658,4.0,3,0,"Shopping, Women's Clothing, Fashion"
McDonald's,3708 Forbes Ave,Pittsburgh,PA,15213,40.4411077,-79.9571066,1.5,20,1,"Fast Food, Burgers, Restaurants, Coffee & Tea, Food"
Taiwanese Bistro Cafe 33,1711 Shady Ave,Pittsburgh,PA,15217,40.4376110828,-79.9191114697,4.5,205,1,"Noodles, Seafood, Restaurants, Taiwanese"
Tepe Chiropractic Center,5739 1\/2 Walnut St,Pittsburgh,PA,15232,40.4527342895,-79.9291193583,5.0,17,1,"Chiropractors, Massage Therapy, Massage, Doctors, Health & Medical, Sports Medicine, Beauty & Spas"
Global Market Retail,2016 Murray Ave,Pittsburgh,PA,15217,40.4342212,-79.9230271,5.0,6,1,"Home Decor, Home & Garden, Shopping, Antiques"
Bellissimo Plastic Surgery & Medi Spa,5301 Fifth Ave,Pittsburgh,PA,15232,40.4483593,-79.9351834,5.0,3,1,"Beauty & Spas, Skin Care, Health & Medical, Cosmetic Surgeons, Medical Spas, Plastic Surgeons, Doctors"
Enterprise Rent-A-Car,756 S Millvale Ave,Pittsburgh,PA,15213,40.45629,-79.947667,3.5,28,1,"Hotels & Travel, Auto Repair, Car Rental, Automotive"
St Nicholas Greek Orthodox Cathedral,419 S Dithridge St,Pittsburgh,PA,15213,40.4447933,-79.9499166,4.0,12,1,"Churches, Religious Organizations, Caterers, Event Planning & Services"
Korean Central Church of Pgh,821 S Aiken Ave,Pittsburgh,PA,15232,40.450169,-79.9347916,3.5,5,1,Religious Organizations
European Wax Center,5505 Walnut St,Pittsburgh,PA,15232,40.451269476,-79.93381227,4.0,59,1,"Hair Removal, Waxing, Beauty & Spas, Skin Care"
UPMC Eye Center,3616 Forbes Ave,Pittsburgh,PA,15213,40.4408371341,-79.9578040312,2.0,5,1,"Health & Medical, Doctors, Ophthalmologists, Optometrists"
Zarra's A Taste of Southern Italy,3887 Bigelow Blvd,Pittsburgh,PA,15213,40.4547313,-79.9543093,3.5,101,1,"Italian, Nightlife, Restaurants"
Twentieth Century Club,4201 Bigelow Blvd,Pittsburgh,PA,15213,40.4462844,-79.956604,3.5,3,1,"Venues & Event Spaces, Nightlife, Event Planning & Services"
Tutti Frutti Frozen Yogurt,5874 Forbes Ave,Pittsburgh,PA,15217,40.4378411,-79.9201088,3.5,31,0,"Ice Cream & Frozen Yogurt, Food, Restaurants"
Sephora,5526 Walnut St,Pittsburgh,PA,15232,40.451506597,-79.9326658755,3.5,42,1,"Beauty & Spas, Cosmetics & Beauty Supply, Shopping"
Shadyside Nursery,510 Maryland Ave,Pittsburgh,PA,15232,40.456264,-79.931201,4.5,4,1,"Home & Garden, Christmas Trees, Shopping, Nurseries & Gardening"
Tan Lac Vien Express,256 N Craig St,Pittsburgh,PA,15213,40.4512524,-79.9514683,4.0,8,1,"Noodles, Restaurants, Vietnamese, Vegan"
Yuva India Kitchen + Bar,412 S Craig St,Pittsburgh,PA,15213,40.444838,-79.9488538,3.0,121,1,"Food, Halal, Food Delivery Services, Wineries, Bars, Restaurants, Nightlife, Arts & Entertainment, Indian, Pakistani"
Northside Carpets & Oriental Rugs,2127 Murray Ave,Pittsburgh,PA,15217,40.4329535,-79.9229482,4.5,3,1,"Home & Garden, Home Services, Carpet Cleaning, Shopping, Local Services, Carpeting, Rugs, Antiques"
GetGo,5801 Forward Ave,Pittsburgh,PA,15217,40.429962,-79.9232054,2.0,10,1,"Gas Stations, Automotive"
Avenue B,5501 Centre Ave,Pittsburgh,PA,15232,40.456856,-79.936432,4.0,228,0,"American (New), Restaurants"
Salud Juicery,733 Copeland St,Pittsburgh,PA,15232,40.4512091,-79.9345684,4.0,103,1,"Juice Bars & Smoothies, Food"
Bellisario's Automotive,3529 Blvd Of The Allies,Pittsburgh,PA,15213,40.434969,-79.9551834,4.5,6,1,"Auto Repair, Automotive"
Max & Erma's Restaurants,5533 Walnut St,Pittsburgh,PA,15232,40.451773,-79.9325889,3.0,6,0,"American (New), Restaurants"
Northeastern Kitchen,5824 Forbes Ave,Pittsburgh,PA,15217,40.4377489,-79.92187,4.0,10,1,"Chinese, Restaurants"
Chief's Cafe,307 N Craig St,Pittsburgh,PA,15213,40.4520561,-79.952299,4.5,9,1,"Food, Bars, Nightlife, Coffee & Tea, Dive Bars, Cocktail Bars, Bar Crawl"
Desi Moorgi,4903 Baum Blvd,Pittsburgh,PA,15213,40.454852,-79.946573,4.0,4,0,"Restaurants, Indian, Caterers, Event Planning & Services"
Pinnacle Internal Medicine Associates,"532 S Aiken Ave, Ste 201",Pittsburgh,PA,15232,40.4544988,-79.9383762,1.5,3,1,"Health & Medical, Doctors"
The Underground,1060 Morewood Ave,Pittsburgh,PA,15213,40.4458918,-79.9422984,3.5,3,1,"Restaurants, American (New)"
Pep Boys,936 S Millvale Ave,Pittsburgh,PA,15213,40.4534297,-79.9482118,2.0,98,1,"Automotive, Tires, Auto Repair, Auto Parts & Supplies"
AVA Cafe + Lounge,304 N Craig St,Pittsburgh,PA,15213,40.452254,-79.952033,4.0,7,0,"Music Venues, Bars, Lounges, Cafes, Restaurants, Nightlife, Arts & Entertainment"
Eye Candy Tattoos,314 N Craig St,Pittsburgh,PA,15213,40.4523903,-79.9522099,5.0,5,0,"Tattoo, Piercing, Beauty & Spas"
Steel City Garage Doors,"2004 Murray Ave, Ste 1",Pittsburgh,PA,15217,40.4344693,-79.9230448,4.5,8,1,"Door Sales\/Installation, Contractors, Home Services, Garage Door Services"
Ten Thousand Villages,5820 Forbes Ave,Pittsburgh,PA,15217,40.4378519,-79.922053,4.5,10,1,"Jewelry, Home Decor, Shopping, Home & Garden, Event Planning & Services, Arts & Crafts, Cards & Stationery, Flowers & Gifts"
Baum Boulevard Automotive,4741 Baum Blvd,Pittsburgh,PA,15213,40.454497,-79.948824,3.0,43,1,"Tires, Automotive, Auto Repair, Oil Change Stations"
La Prima Espresso,5000 Forbes Ave,Pittsburgh,PA,15213,40.4426643755,-79.9456820676,4.0,6,1,"Coffee & Tea, Food"
Brick-Side Eatery,"3459 5th Ave, Fl 7",Pittsburgh,PA,15213,40.4405525045,-79.9613586813,4.5,3,1,"Pizza, Vegan, Restaurants, Salad"
Tula Organic Salon & Spa,2629 Murray Ave,Pittsburgh,PA,15217,40.428913,-79.9239236,4.5,58,1,"Hair Salons, Beauty & Spas, Day Spas, Hair Extensions"
Galaxie Electronics,2136 Murray Ave,Pittsburgh,PA,15217,40.4327703,-79.9234435,4.5,14,1,"Electronics, Professional Services, Local Services, Electronics Repair, Computers, Shopping"
Preston & Grafton Insurance Agency,2012 Murray Ave,Pittsburgh,PA,15217,40.4343259,-79.9230081,5.0,3,1,"Insurance, Auto Insurance, Home & Rental Insurance, Financial Services, Life Insurance"
Upmc Dermatopathology,"580 S Aiken Ave, Ste 510",Pittsburgh,PA,15232,40.4534835973,-79.9375140174,3.5,3,1,"Dermatologists, Pathologists, Health & Medical, Beauty & Spas, Skin Care, Doctors"
Cold Stone Creamery,5800 Forbes Ave,Pittsburgh,PA,15217,40.4379424291,-79.922830377,3.0,40,1,"Cupcakes, Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt, Custom Cakes"
Fez Grill Turkish & Mediterranean Cuisine,416 Semple St,Pittsburgh,PA,15213,40.436539,-79.95473,4.5,7,0,"Food, Turkish, Restaurants, Mediterranean"
Victoria's Secret Stores,5505 Walnut St,Pittsburgh,PA,15232,40.4513552,-79.9335816,3.0,3,0,"Fashion, Shopping, Lingerie"
Bruegger's Bagels,3714 Forbes Ave,Pittsburgh,PA,15213,40.4412932,-79.9569755,3.0,37,1,"Bagels, Sandwiches, Restaurants, Food, Breakfast & Brunch"
Valinsky Realty,,Pittsburgh,PA,15217,40.4327086,-79.9248669,5.0,5,1,"Home Services, Property Management, Real Estate, Apartments"
Walnut Capital Management,5500 Walnut St,Pittsburgh,PA,15232,40.4509831,-79.9335455,3.0,17,1,"Financial Services, Investing, Real Estate, Property Management, Home Services"
I Tea Cafe,709 Bellefonte St,Pittsburgh,PA,15232,40.4521797,-79.9342336,3.0,80,1,"Bubble Tea, Juice Bars & Smoothies, Taiwanese, Coffee & Tea, Restaurants, Food"
Murray Avenue Locksmith,2004 Murray Ave,Pittsburgh,PA,15217,40.4344693,-79.9230448,4.5,27,1,"Garage Door Services, Home Services, Security Systems, Keys & Locksmiths"
First United Methodist Church,5401 Centre Ave,Pittsburgh,PA,15232,40.4567745269,-79.9383685614,5.0,3,1,"Religious Organizations, Churches"
Prantl's Bakery,5525 Walnut St,Pittsburgh,PA,15232,40.4515944,-79.9328629,4.0,208,1,"Restaurants, Desserts, Bakeries, Food"
Kids Plus Pediatrics,4070 Beechwood Blvd,Pittsburgh,PA,15217,40.4273039,-79.9382888,4.5,6,1,"Pediatricians, Health & Medical, Doctors"
CVS Pharmacy,5600 Wilkins Ave,Pittsburgh,PA,15217,40.4438,-79.9276,4.0,4,1,"Shopping, Drugstores"
Olio Trattoria,3716 Forbes Ave,Pittsburgh,PA,15213,40.44133,-79.956892,3.5,10,0,"Italian, Restaurants"
Green Pepper,2020 Murray Ave,Pittsburgh,PA,15217,40.434176,-79.922987,3.5,149,1,"Karaoke, Korean, Nightlife, Restaurants"
Pie Express,148 Oakland Ave,Pittsburgh,PA,15213,40.4416351719,-79.9572138885,4.0,24,1,"Pizza, Salad, Restaurants"
Salim's Middle Eastern Food Store,4705 Centre Ave,Pittsburgh,PA,15213,40.4527796,-79.9495128,4.5,52,1,"Delis, Imported Food, Restaurants, Ethnic Food, Grocery, Food, Specialty Food"
Al's Motor Works & Auto Body,3556 Bethoven St,Pittsburgh,PA,15213,40.4590922,-79.95868,5.0,10,1,"Automotive, Auto Repair"
Squirrel Hill News Stand,5804 Forbes Ave,Pittsburgh,PA,15217,40.4378543,-79.9225892,4.5,3,1,"Books, Mags, Music & Video, Shopping"
Dragonfly Pilates,"5518 Walnut St, Ste C",Pittsburgh,PA,15232,40.451153,-79.9329659,5.0,11,1,"Fitness & Instruction, Pilates, Active Life"
Asia Tea House,4230 Forbes Ave,Pittsburgh,PA,15213,40.4427240454,-79.9528134937,3.0,50,1,"Chinese, Tea Rooms, Fast Food, Bubble Tea, Food, Restaurants"
Everyday Noodles,5875 Forbes Ave,Pittsburgh,PA,15217,40.438262,-79.920082,4.0,598,1,"Vegetarian, Noodles, Chinese, Restaurants"
Pizza Bellagio,315 N Craig St,Pittsburgh,PA,15213,40.452185,-79.9526484,1.5,8,1,"Pizza, Restaurants"
Squirrel Hill Tunnel,Penn Lincoln Pkwy,Pittsburgh,PA,15217,40.4269101714,-79.9192879052,2.0,4,1,"Public Services & Government, Landmarks & Historical Buildings"
Paititi,1823 Murray Ave,Pittsburgh,PA,15217,40.4364473,-79.9227063,4.5,9,1,"Fashion, Shopping, Gift Shops, Flowers & Gifts"
Fajita Grill,5865 Ellsworth Ave,Pittsburgh,PA,15232,40.457666,-79.928882,3.0,18,0,"Mexican, Restaurants"
Khalil's II,4757 Baum Blvd,Pittsburgh,PA,15213,40.4544679,-79.9481463,4.5,14,1,"Syrian, Middle Eastern, Restaurants"
Subway,1926 Murray Ave,Pittsburgh,PA,15217,40.4352061,-79.9230905,1.5,3,0,"Fast Food, Restaurants, Sandwiches"
Sababa Middle Eastern Grill,2121 Murray Ave,Pittsburgh,PA,15217,40.4331248,-79.9229243,4.0,27,0,"Restaurants, Middle Eastern"
"Carnegie Library of Pittsburgh, Main Library",4400 Forbes Ave,Pittsburgh,PA,15213,40.443628,-79.950626,5.0,62,1,"Libraries, Public Services & Government"
China Star,4219 Murray Ave,Pittsburgh,PA,15217,40.4225625,-79.9285714,3.0,54,1,"Restaurants, Chinese"
Love Yogurt,229 Atwood St,Pittsburgh,PA,15213,40.440542,-79.9564947,4.0,47,1,"Restaurants, Desserts, Food, Japanese, Ice Cream & Frozen Yogurt, Ramen"
Bubble Pi,2218 Murray Ave,Pittsburgh,PA,15217,40.4317647,-79.923344,3.5,30,0,"Food, Bakeries"
High speed entertainment at  Verizon Fios,424 S Craig St,Pittsburgh,PA,15213,40.4446289,-79.9488725,1.0,3,1,"Professional Services, Home Services, Internet Service Providers"
Stuckert's Towing and Gulf,3200 5th Ave,Pittsburgh,PA,15213,40.4373704,-79.964159,4.0,4,1,"Towing, Automotive"
Vista Behavioral Health Associates,230 N Craig St,Pittsburgh,PA,15213,40.4510109,-79.9511841,1.5,3,1,"Psychiatrists, Health & Medical, Doctors, Counseling & Mental Health"
Concentra Medical Center,120 Lytton Ave,Pittsburgh,PA,15213,40.4463709,-79.9549465,1.5,3,1,"Health & Medical, Medical Centers"
Murray Avenue Kosher Inc,1916 Murray Ave,Pittsburgh,PA,15217,40.435459,-79.9229692,3.5,11,1,"Food, Meat Shops, Specialty Food"
Craig Distributing,313 N Craig St,Pittsburgh,PA,15213,40.4521067,-79.9524517,2.5,5,1,"Beer, Wine & Spirits, Food"
China Palace,5440 Walnut St,Pittsburgh,PA,15232,40.450866,-79.933919,3.0,113,1,"Chinese, Asian Fusion, Caterers, Restaurants, Fast Food, Event Planning & Services, Food, Food Delivery Services, Vegetarian"
Arriviste Coffee Bar,5730 Ellsworth Ave,Pittsburgh,PA,15232,40.4553616,-79.9312134,4.5,59,1,"Coffee & Tea, Restaurants, Desserts, Food, Cafes"
Kelly John C R Realty,3535 Blvd of the Allies,Pittsburgh,PA,15213,40.4347808,-79.9547123,2.0,14,1,"Real Estate, Property Management, Real Estate Services, Home Services"
Save-Mor Beer & Pop Warehouse,4516 Browns Hill Rd,Pittsburgh,PA,15217,40.4169465,-79.9254633,4.0,10,1,"Breweries, Food, Hotels & Travel, Shaved Ice, Tours, Beer Tours, Beer, Wine & Spirits, Shopping, Tobacco Shops"
KBOX Karaoke House,214 S Craig St,Pittsburgh,PA,15213,40.4458765,-79.9490704,4.0,25,1,"Karaoke, Bars, Nightlife, Party Equipment Rentals, Lounges, Event Planning & Services, Venues & Event Spaces"
Homer's Service Center,4157 Murray Ave,Pittsburgh,PA,15217,40.4234091,-79.9281375,4.5,68,1,"Automotive, Oil Change Stations, Tires, Gas Stations, Auto Repair"
Dunkin' Donuts,4578 Browns Hill Rd,Pittsburgh,PA,15217,40.416036,-79.9247328,2.5,28,1,"Donuts, Food, Desserts, Coffee & Tea"
Sphinx Cafe,401 Atwood St,Pittsburgh,PA,15213,40.4381085,-79.9536706,3.0,48,0,"Middle Eastern, Hookah Bars, Restaurants, Nightlife, Food, Coffee & Tea, Bars"
Maggie and Stella's Cards and Gifts,3925 Fifth Ave,Pittsburgh,PA,15213,40.443411,-79.95587,3.5,3,1,"Gift Shops, Flowers & Gifts, Accessories, Toy Stores, Fashion, Shopping"
Mansions on Fifth,5105 Fifth Ave,Pittsburgh,PA,15232,40.4480093,-79.9383971,3.5,60,1,"Hotels, Hotels & Travel, Bed & Breakfast, Event Planning & Services, Venues & Event Spaces"
Waffallonia,1709 Murray Ave,Pittsburgh,PA,15217,40.4377485,-79.9228228,4.5,286,1,"Ice Cream & Frozen Yogurt, Specialty Food, American (New), Restaurants, Breakfast & Brunch, Food, Waffles, Coffee & Tea, Desserts"
Tamarind,257 N Craig St,Pittsburgh,PA,15213,40.4511441,-79.9519468,4.0,230,1,"Indian, Restaurants, Pakistani"
Filer Chiropractic Center,5850 Ellsworth Ave,Pittsburgh,PA,15232,40.4568715,-79.9294162,5.0,19,1,"Nutritionists, Health & Medical, Chiropractors"
Shadyside Eye Associates,"5730 Ellsworth Ave, Ste 4",Pittsburgh,PA,15232,40.4553673,-79.9312065,5.0,17,1,"Health & Medical, Optometrists"
Rad Ritual,5823 Ellsworth Ave,Pittsburgh,PA,15232,40.4567355,-79.93031,3.5,11,1,"Shopping, Supernatural Readings, Health & Medical, Reiki, Beauty & Spas, Arts & Entertainment, Cosmetics & Beauty Supply"
Bangal Kabab House and Restaurant,320 Atwood St,Pittsburgh,PA,15213,40.439047,-79.9554689,4.0,141,1,"Indian, Halal, Restaurants, Bangladeshi"
Western Psychiatric Institute and Clinic of UPMC,3811 O'Hara St,Pittsburgh,PA,15213,40.4436261,-79.9596871,1.0,6,1,"Health & Medical, Counseling & Mental Health, Medical Centers, Hospitals"
Red Oak Cafe,3610 Forbes Ave,Pittsburgh,PA,15213,40.4407677,-79.9578317,4.0,153,0,"Restaurants, Sandwiches, Food, American (New), Delis, Breakfast & Brunch, Juice Bars & Smoothies, Cafes"
Birth Your Roots - Doula & Photographer,,Pittsburgh,PA,15217,40.4327086,-79.9248669,5.0,13,1,"Event Planning & Services, Session Photography, Health & Medical, Doulas, Photographers, Event Photography"
University Club,123 University Pl,Pittsburgh,PA,15213,40.4442509,-79.9567788,3.5,17,1,"Venues & Event Spaces, Event Planning & Services"
Forward Management,"5440 5th Ave, Ste 63",Pittsburgh,PA,15232,40.45209,-79.93223,2.0,9,1,"Real Estate, Property Management, Home Services"
Quaker Steak and Lube,3602 Forbes Ave,Pittsburgh,PA,15213,40.4406403,-79.9582222,3.5,54,0,"American (Traditional), Burgers, Chicken Wings, Restaurants"
Mesa,221 Schenley Dr,Pittsburgh,PA,15213,40.4425967878,-79.9528667692,3.5,9,1,"New Mexican Cuisine, Restaurants, Breakfast & Brunch"
Calvary Cemetery,718 Hazelwood Ave,Pittsburgh,PA,15217,40.416188,-79.927209,4.5,3,1,"Funeral Services & Cemeteries, Local Services"
Wqed-Fm,4802 5th Ave,Pittsburgh,PA,15213,40.446505,-79.9447149,4.0,3,1,"Radio Stations, Mass Media"
Orient Kitchen,4808 Baum Blvd,Pittsburgh,PA,15213,40.4542791,-79.9470228,3.0,68,1,"Chinese, Sushi Bars, Restaurants, Cantonese, Dim Sum"
1947 Tavern,5744 1\/2 Ellsworth Ave,Pittsburgh,PA,15232,40.4556589,-79.9309996,3.5,75,0,"Nightlife, Restaurants, Bars, American (New), American (Traditional)"
Spooled Rotten Eyebrows Threading,2027 Murray Ave,Pittsburgh,PA,15217,40.4339418,-79.9227076,4.0,20,1,"Threading Services, Hair Removal, Eyelash Service, Eyebrow Services, Skin Care, Permanent Makeup, Waxing, Beauty & Spas"
Panera Bread,3401 Boulevard Of The Allies,Pittsburgh,PA,15213,40.436272,-79.958116,3.0,33,1,"Breakfast & Brunch, Salad, Sandwiches, Food, Soup, Bagels, Restaurants"
Pizza Bellagio,4635 Centre Ave,Pittsburgh,PA,15213,40.4524104,-79.9506684,1.5,19,1,"Restaurants, Pizza"
Café Phipps,1 Schenley Park,Pittsburgh,PA,15213,40.4388866336,-79.9478385831,3.5,44,1,"Museums, Arts & Entertainment, Restaurants, Sandwiches, Botanical Gardens, Vegetarian"
UPMC Cosmetic Surgery and Skin Health Center - Shadyside,"5401 Walnut St, Ste 300",Pittsburgh,PA,15232,40.4507985,-79.935199,3.0,5,1,"Cosmetic Surgeons, Physical Therapy, Health & Medical, Doctors"
"Malvin Mark D, DMD",410 S Craig St,Pittsburgh,PA,15213,40.4449316,-79.9490205,2.0,11,1,"Health & Medical, Dentists, General Dentistry"
Caliban Book Shop,410 S Craig St,Pittsburgh,PA,15213,40.4449192,-79.9490087,4.0,33,1,"Used Bookstore, Music & DVDs, Shopping, Antiques, Appraisal Services, Vinyl Records, Books, Mags, Music & Video, Local Services, Bookstores"
Pittsburgh Playhouse,222 Craft Ave,Pittsburgh,PA,15213,40.4364601,-79.9627665,5.0,4,1,"Performing Arts, Arts & Entertainment, Colleges & Universities, Education"
Windo Van Go Window Treatments Pittsburgh,,Pittsburgh,PA,15232,40.451096,-79.9332613,5.0,3,1,"Shutters, Shopping, Home & Garden, Local Services, Home Decor, Furniture Reupholstery, Shades & Blinds, Home Services"
Gino's Hair Styling Salon,1931 Murray Ave,Pittsburgh,PA,15217,40.4351068,-79.922684,4.0,10,1,"Hair Salons, Beauty & Spas"
Able Laundromaxx,4070 Beechwood Blvd,Pittsburgh,PA,15217,40.4273015,-79.9382801,1.5,6,1,"Laundry Services, Local Services, Dry Cleaning & Laundry"
